User Name,Session Code,Trial Code,Unix Timestamp,Time Elapsed,Speed,X,Y,Z,Pitch,Yaw,Roll,Heading (Degrees),Heading (Cardinal),Vehicle
nick,p1ImZ273,GhE6rEWk,1725725037,9.04,37.51234940866755,247.101806640625,-139.51370239257812,0.00044540403177961707,-0.0568544901907444,-97.03046417236328,0.0873124748468399,-97.03046417236328,W,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725037,9.51,40.724138728124494,246.0260467529297,-148.5813446044922,0.0005026244907639921,0.15714214742183685,-96.37637329101562,-0.047882091253995895,-96.37637329101562,W,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725037,10.01,43.890054397503484,244.9010467529297,-157.08059692382812,0.0005048370221629739,0.1681387573480606,-99.68122100830078,0.4026064872741699,-99.68122100830078,W,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725038,10.55,46.39736120829339,242.3563232421875,-167.80430603027344,0.0004823684867005795,0.10230939835309982,-109.82322692871094,1.1450072526931763,-109.82322692871094,W,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725038,11.0,44.74749926699902,238.39170837402344,-177.44552612304688,0.00042877200758084655,-0.07806222885847092,-116.27586364746094,0.8128891587257385,-116.27586364746094,W,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725039,11.51,42.49513275454676,234.5677032470703,-185.436767578125,0.0004383850027807057,-0.1035456657409668,-115.17646026611328,0.049789413809776306,-115.17646026611328,W,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725040,12.04,39.86737029549924,230.03028869628906,-193.98570251464844,0.0004408264358062297,-0.10663291066884995,-123.94910430908203,1.0222415924072266,-123.94910430908203,W,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725040,12.55,36.4301477992009,224.34747314453125,-200.62083435058594,0.00040443427860736847,-0.15969663858413696,-140.57757568359375,1.7285995483398438,-140.57757568359375,S,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725041,13.03,33.023090166590066,218.25979614257812,-204.7039794921875,0.0004119492368772626,-0.15472427010536194,-153.9092559814453,1.502979040145874,-153.9092559814453,S,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725041,13.5,33.250668735020085,211.20046997070312,-207.19729614257812,0.0004729461797978729,0.05994856730103493,-167.54920959472656,1.2248313426971436,-167.54920959472656,S,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725042,14.03,36.85124040515224,203.71072387695312,-208.2820587158203,0.0005001068348065019,0.1542256623506546,-175.98109436035156,0.8471615314483643,-175.98109436035156,S,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725042,14.56,38.51326429672596,194.62710571289062,-208.60633850097656,0.0004685592430178076,0.03525060415267944,-179.7684783935547,0.35952314734458923,-179.7684783935547,S,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725042,15.02,36.262568181584975,186.20779418945312,-208.66763305664062,0.0017512129852548242,-0.047695208340883255,-179.56539916992188,0.18541167676448822,-179.56539916992188,S,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725043,15.53,38.27034004293129,178.46763610839844,-208.49288940429688,0.00028865813510492444,0.09082102030515671,176.1909942626953,0.46558254957199097,176.1909942626953,S,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725044,16.06,42.76752467748117,168.8678436279297,-207.3261260986328,0.0004884338122792542,0.19528192281723022,169.44830322265625,0.6450247168540955,169.44830322265625,S,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725044,16.51,46.0089880372036,160.01596069335938,-205.60411071777344,0.000502090435475111,0.1675240397453308,168.43194580078125,0.18842388689517975,168.43194580078125,S,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725045,17.05,44.40499055599488,149.2926788330078,-203.71881103515625,0.0005051803309470415,-0.07480422407388687,173.40179443359375,-0.5778502225875854,173.40179443359375,S,Dodge Charger 2020
nick,p1ImZ273,GhE6rEWk,1725725045,17.51,41.907939591752395,139.61016845703125,-203.0286865234375,0.0003707885625772178,-0.10195422917604446,179.58786010742188,-0.70477294921875,179.58786010742188,S,Dodge Charger 2020
